type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Telefono,properties/Direccion,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,agenciascooperacion.1,Point,-68.08498524,-16.54016206,geom,Programa de Las Naciones Unidas para El Desarrollo - PNUD,2624030 FX. 2795822,"C.14 de Calacoto Ed. Metrobol II, piso 5",CALACOTO,18,,clara.revollo,2016-06-13T16:06:42.600Z,
Feature,agenciascooperacion.2,Point,-68.12558517,-16.51299308,geom,Asociación de Instituciones y Educación - AIPE,2419723,C. Macario Pinilla #525,SOPOCACHI,3,,clara.revollo,2016-06-13T17:50:53.303Z,
Feature,agenciascooperacion.3,Point,-68.12177356,-16.51380937,geom,Banco Interamericano de Desarrollo en Bolivia - BID,2177700,Av. 6 de Agosto Esq. Cordero # 2818,SAN JORGE,1,,clara.revollo,2016-06-13T17:02:39.940Z,
Feature,agenciascooperacion.4,Point,-68.12360224,-16.51291303,geom,Fondo Monetario Internacional -FMI,2430013 FX. 2430017,Av. 20 de octubre #2665 Esq. Campos Ed. Torre Azul,SAN JORGE,3,,clara.revollo,2016-06-13T17:19:43.217Z,
Feature,agenciascooperacion.5,Point,-68.12907156,-16.51433633,geom,CESO SACO,2150700 FX.,C. Victor Sanjinez #2678 Ed. Barcelona piso 2,SOPOCACHI,3,,clara.revollo,2016-06-13T17:20:06.067Z,
Feature,agenciascooperacion.6,Point,-68.12366212,-16.51282718,geom,Alto Comisionado de Las Naciones Unidas,2624000,Av. 20 de Octubre Esq. Campos Torre Azul Piso 10,SOPOCACHI,3,,clara.revollo,2016-06-13T17:20:18.253Z,
Feature,agenciascooperacion.7,Point,-68.11987309,-16.51408455,geom,Corporación Andina de Fomento - CAF,2433333,Av. Arce #2915 Esq. Clavijo,SAN JORGE,1,,clara.revollo,2016-06-13T17:20:36.750Z,
Feature,agenciascooperacion.8,Point,-68.12547374,-16.51158755,geom,Cooperatione Internacionale - COOPI,2119103-2117462,C. Lisímaco Gutierrez #379 entre 6 de Agosto y 20 de Octubre,SOPOCACHI,3,,clara.revollo,2016-06-13T17:20:56.440Z,
Feature,agenciascooperacion.9,Point,-68.13094602,-16.51207033,geom,HELVETAS Swiss Intercooperación en Bolivia,2115477,C. Rosendo Gutierrez #704 entre Ecuador y Abdón Saavedra,SOPOCACHI,3,,clara.revollo,2016-06-13T17:21:09.190Z,
Feature,agenciascooperacion.10,Point,-68.08768349,-16.54210654,geom,Organización de La Sociedad Civil Danesa - IBIS,2773523,C.12 #10 entre Sánchez Bustamante y Julio Patiño,CALACOTO,18,,clara.revollo,2016-06-13T17:21:23.780Z,
Feature,agenciascooperacion.11,Point,-68.13512771,-16.49930468,geom,Udape,2379493 FX.  2372333,Av. Mariscal Santa Cruz,SAN PEDRO,6,,clara.revollo,2016-06-13T17:21:59.930Z,
Feature,agenciascooperacion.12,Point,-68.08110205,-16.53905938,geom,Cooperación Internacional de Corea - KOICA,2971577-2971578,C. 18 Ed. parque 18 piso 6,CALACOTO,18,,clara.revollo,2016-06-13T17:23:22.727Z,
Feature,agenciascooperacion.13,Point,-68.07748508,-16.54260104,geom,Help Age,2794966,C. 21 Edificio Monroy Velez Piso 6 of 4,CALACOTO,18,,clara.revollo,2016-06-13T17:27:02.297Z,
Feature,agenciascooperacion.14,Point,-68.10929872,-16.52582256,geom,Programa Pacivur IRD Bolivia,,Av. Hernando Siles #5290,OBRAJES,21,,clara.revollo,2016-06-13T17:26:52.270Z,
Feature,agenciascooperacion.15,Point,-68.08607299,-16.54133288,geom,Coordinadora de Organizaciones No Gubernamentales Internacionales - COGNI,2119103 TEL y FAX  - 2771380  - 2117462,C. 13 de Calacoto #8008,CALACOTO,18,,clara.revollo,2016-06-13T17:27:33.357Z,
Feature,agenciascooperacion.16,Point,-68.08608848,-16.54004987,geom,Servicio Holandés de Cooperación al Desarrollo - SNV,,C. 13 Torre Lucía,CALACOTO,18,,clara.revollo,2016-06-13T17:27:53.803Z,
Feature,agenciascooperacion.17,Point,-68.07879696,-16.53732729,geom,Naciones Unidas para La Infancia - UNICEF,2770222-FX. 2772101,C. 20 de Calacoto,CALACOTO,18,,clara.revollo,2016-06-13T17:28:06.153Z,
Feature,agenciascooperacion.18,Point,-68.12519176,-16.50995128,geom,Fundación Tierra,2430145-2432263   FX. 2111216,C.Hemanos Manchego # 2566 entre Pedro Salazar y Av. Arce,SOPOCACHI,1,,clara.revollo,2016-06-13T17:28:41.467Z,
Feature,agenciascooperacion.19,Point,-68.07470476,-16.5401115,geom,Wildlife Conservation Society,,C. Gabino Villanueva #340,CALACOTO,18,,clara.revollo,2016-06-13T17:29:25.410Z,
Feature,agenciascooperacion.20,Point,-68.12917456,-16.50861309,geom,International Finance Corporation,2790404 2422221 - 2114278,C. Fernando Guachalla #342 Ed. Victor piso 8,SOPOCACHI,3,,clara.revollo,2016-06-13T17:34:43.627Z,
Feature,agenciascooperacion.21,Point,-68.13639181,-16.49746929,geom,Fundación Milenio,2312788-2314563-2392341,Av. 16 de Julio Ed. Cosmos piso 7,SAN PEDRO,6,,clara.revollo,2016-06-13T17:35:06.887Z,
Feature,agenciascooperacion.22,Point,-68.08139465,-16.53957297,geom,Cooperación Técnica Alemana - G.I.Z.,2771380,C. Julio Patiño N° 1178,CALACOTO,18,,clara.revollo,2016-06-13T17:36:03.310Z,
Feature,agenciascooperacion.23,Point,-68.07727614,-16.54011792,geom,Agencia de Cooperación Internacional del Japon - JICA,,C. 22 de Calacoto Edificio EmpResarial Piso 1,CALACOTO,18,,clara.revollo,2016-06-13T17:36:40.473Z,
Feature,agenciascooperacion.24,Point,-68.1209535,-16.51259587,geom,Programa de Investigación Estratégica en Bolivia,2624030    FX. 2795821,Av. Arce Edif. Fortaleza P 6 -601 (frente de la Embajada americana),SOPOCACHI,1,,clara.revollo,2016-06-13T17:37:23.863Z,
Feature,agenciascooperacion.25,Point,-68.12977167,-16.51492902,geom,Ayuda en Acción Bolivia,,C. Miguel de Cervantes 2750,SOPOCACHI,3,,clara.revollo,2016-06-13T17:37:45.330Z,
Feature,agenciascooperacion.26,Point,-68.10427264,-16.52696086,geom,Suiza En Bolivia - COSUDE,2751001 - 2750820 - 2750890,C. 13 No. 455 Esq. 14 de Septiembre,OBRAJES,21,,clara.revollo,2016-06-13T17:49:45.233Z,
Feature,agenciascooperacion.27,Point,-68.12766641,-16.50831068,geom,CARE - Bolvia,2409022 - 2408585,Av. 6 de Agosto y 20 de Octubre - Pasaje Jáuregui Ed. Quipus piso 3,SOPOCACHI,3,,clara.revollo,2016-06-13T17:38:47.960Z,
Feature,agenciascooperacion.28,Point,-68.11998271,-16.51297336,geom,Fundación para el Desarrollo del Sistema Nacional de Áreas Protegidas - FUNDESNAP,2113364,Prolongación Cordero #127,SAN JORGE,1,,clara.revollo,2016-06-13T17:40:15.973Z,
Feature,agenciascooperacion.29,Point,-68.12073828,-16.51360105,geom,Agencia Española de Cooperación Internacional - AECID,2433515,Av. Arce #2856 entre Cordero y Clavijo,SAN JORGE,1,,clara.revollo,2016-06-13T17:40:49.190Z,
Feature,agenciascooperacion.30,Point,-68.09115702,-16.54176607,geom,Fundación Konrad Adenauer,2786831-2786910-2125577   FX. Int. 115,Av. Walter Guevara #8037,CALACOTO,18,,clara.revollo,2016-06-13T17:41:18.030Z,
Feature,agenciascooperacion.31,Point,-68.12454157,-16.51114682,geom,Coperazione Internazionale,,C. Lisímaco Gutierrez #379,SOPOCACHI,3,,clara.revollo,2016-06-13T17:42:13.187Z,
Feature,agenciascooperacion.32,Point,-68.10817854,-16.52637522,geom,Prodena,,Av. Hernando Siles,OBRAJES,21,,clara.revollo,2016-06-13T17:43:01.340Z,
Feature,agenciascooperacion.33,Point,-68.12910724,-16.50857358,geom,Banco Mundial,2153344 - 2153300 - 2441991,C. Fernando Guachalla 342,SOPOCACHI,3,,clara.revollo,2016-06-13T17:45:44.507Z,
Feature,agenciascooperacion.34,Point,-68.0867672,-16.54073885,geom,Fundación para el Desarrollo Participativo Comuniatario - FUNDEPCO,2771137,C. 12 Calacoto # 635 Esq. Julio Patiño,CALACOTO,18,,clara.revollo,2016-06-13T17:47:39.570Z,
Feature,agenciascooperacion.35,Point,-68.10513856,-16.52797783,geom,Oxfam,2788323 - 2147965,Av. Hernado Siles #5826 entre C. 12 y 13 Obrajes,OBRAJES,21,,clara.revollo,2016-06-13T17:48:10.367Z,
Feature,agenciascooperacion.36,Point,-68.13109324,-16.50974861,geom,Cooperación Suiza - Swisscontac,2434666 - 2112141,C. Jacinto Benavente #2176 entre Guachalla y Aspiazu,SOPOCACHI,3,,clara.revollo,2016-06-13T17:48:54.953Z,
