type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Zona,properties/Direccion,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,bibliotecas.1,Point,-68.12618229,-16.50444378,geom,Infantil Diente de Leche,Central,Av. Del Poeta (altura del Teatro al Aire Libre Jaime Laredo),1,,nhuanquiri,2018-04-26T19:28:38.127Z,
Feature,bibliotecas.2,Point,-68.09012148,-16.52131935,geom,Municipal de Bolognia,Bolognia,C. 2 - frente Unidad Educativa de las FF. AA.,21,,carlos.medrano,2016-06-13T21:59:38.973Z,
Feature,bibliotecas.3,Point,-68.11231397,-16.47207733,geom,Municipal de Huaychani,Huaychani,C. Mérida # 5,13,,carlos.medrano,2016-06-13T22:05:11.530Z,
Feature,bibliotecas.4,Point,-68.10559093,-16.52354231,geom,Alto Obrajes,Alto Obrajes,Av. Del Maestro Esq. C. 10 - Frente al Parque UFAO,21,,carlos.medrano,2016-06-13T22:05:17.993Z,
Feature,bibliotecas.5,Point,-68.10528496,-16.52716969,geom,Distrital de Obrajes,Sur,C. 12 - Plaza Cueto Vidaurre,21,,carlos.medrano,2016-06-13T22:05:23.923Z,
Feature,bibliotecas.6,Point,-68.10317358,-16.4951786,geom,Zonal de Alto Pampahasi,Alto Pampahasi,C. G Esq. Mercado La Paz - Lado Retén Policial,16,,carlos.medrano,2016-06-13T22:05:34.283Z,
Feature,bibliotecas.7,Point,-68.11551588,-16.49645593,geom,Casa Distrital Jaime Sáenz (Biblioteca de San Antonio),Villa San Antonio,"C. Arellano Esq. Félix Hinojosa (Plaza del Niño) Casa Distrital ""Jaime Saenz""",15,,carlos.medrano,2016-06-13T22:05:45.993Z,
Feature,bibliotecas.8,Point,-68.14970499,-16.47514655,geom,Municipal de Achachicala,Achachicala,Av. Ramos Gavilán entre la C. 3 y 2 - Lado Mercado de las Nieves.,11,,carlos.medrano,2016-06-13T22:05:52.093Z,
Feature,bibliotecas.9,Point,-68.14350374,-16.51077485,geom,Distrital  Cotahuma,Sopocachi,"Av. Feliciano Kantutam, Esq. Av. Buenos Aires",4,,carlos.medrano,2016-07-01T13:51:43.643Z,
Feature,bibliotecas.10,Point,-68.15420068,-16.49532708,geom,Bajo Tejar,El Tejar,"Av. Héroes del Pacífico Esq. C. Raymundo Gonzáles, Sede Social de Junta de Vecinos - Plaza 27 de mayo",8,,carlos.medrano,2016-07-07T19:40:32.640Z,
Feature,bibliotecas.11,Point,-68.15587871,-16.49957289,geom,Alto Tejar,Alto Tejar,C. Silverio Menacho y Gregorio Colque - Parque Alto Tejar,8,,carlos.medrano,2016-06-13T22:06:11.233Z,
Feature,bibliotecas.12,Point,-68.1558544,-16.48796675,geom,Munaypata,Munaypata,C. 31 de Julio - frente al Colegio 25 de Mayo,9,,carlos.medrano,2016-06-13T22:06:17.100Z,
Feature,bibliotecas.13,Point,-68.15068089,-16.49200655,geom,Villa Victoria,Villa Victoria,Av. José María Asín Esq. Av. República - Pza. Huallparrimachi,8,,carlos.medrano,2016-06-13T22:06:23.283Z,
Feature,bibliotecas.14,Point,-68.14419968,-16.49684306,geom,Distrital Maximiliano  Paredes,14 de Septiembre,"Av. Buenos Aires  esq. C. Maximiliano Paredes, Sub Alcaldía Max Paredes",7,,carlos.medrano,2016-06-13T22:06:28.233Z,
Feature,bibliotecas.15,Point,-68.13487382,-16.49363542,geom,Especializada Liber Forty,Central,"C. Genaro Sanjinez Esq. C. Indaburo -Teatro Municipal ""Alberto Saavedra Pérez""",1,,carlos.medrano,2016-06-13T22:06:33.557Z,
Feature,bibliotecas.16,Point,-68.13652699,-16.49523676,geom,Especializada Archivo Arturo Costa de la Torre,Central,"Av. Mariscal Santa Cruz esq. Potosí - Casa de las  Culturas ""Franz Tamayo""",1,,carlos.medrano,2016-06-13T22:06:39.310Z,
Feature,bibliotecas.17,Point,-68.13171412,-16.5038914,geom,Central Mcal. Andrés de Santa Cruz,Central,C. México Esq. C. Cañada Strongest,6,,carlos.medrano,2016-06-13T22:06:43.400Z,
