type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Casilla,properties/Telefono,properties/Fax,properties/PaginaWeb,properties/Tipo,geometry
Feature,vista_embajadasconsulados.1,Point,-68.12528332,-16.50815668,geom,ALEMANIA,Av. Arce esq. Belisario Salinas Nº 2395,5265,2440066,,www.la-paz.diplo.de,Embajadas,
Feature,vista_embajadasconsulados.2,Point,-68.13003331,-16.50809948,geom,ARGENTINA,Sánchez Lima esq. Aspiazu Nº 497,64,2417737 - 2 242 29 12,2 242 27 27,,Embajadas,
Feature,vista_embajadasconsulados.3,Point,-68.07651377,-16.53457961,geom,BÉLGICA,c. 9 Nº 6 Achumani,2433,2771430 - 2790064,2791219,,Embajadas,
Feature,vista_embajadasconsulados.4,Point,-68.12633565,-16.50735791,geom,BRASIL,"Avenida Arce Esq. Rosendo Gutierrez Edf Multicentro, Tower B, Planta baja Casilla: 429",429,2166438 - 2166400,2440043 - 2128808,lapaz.itamaraty.gov.br,Embajadas,
Feature,vista_embajadasconsulados.5,Point,-68.12910174,-16.51434584,geom,CANADA,"C. Victor Sanjinez Nº 2678, Edif. Barcelona piso 2",,2415141,591-2-241-4453,,Embajadas,
Feature,vista_embajadasconsulados.6,Point,-68.07572276,-16.5459024,geom,CHINA,"Calle 1, No. 8532 Los Pinos Calacoto",,2-279 3851        2-279 2902,2-279 7121,bo.china-embassy.org,Embajadas,
Feature,vista_embajadasconsulados.7,Point,-68.08291201,-16.54214258,geom,COLOMBIA,Calle Roberto Prudencio Nº 797 entre calles 15 y 16 La Paz Bolivia,1418,2790389 - 2790386,(2) 277 5670,bolivia.embajada.gov.co,Embajadas,
Feature,vista_embajadasconsulados.8,Point,-68.0860852,-16.54001345,geom,COREA (REPÚBLICA),"Av. Ballivián Esquina calle #13 Edificio Torre Lucia, piso 4",,2211-0361 a 3,2211 0365,bol.mofa.go.kr,Embajadas,
Feature,vista_embajadasconsulados.9,Point,-68.0807704,-16.54157936,geom,COSTA RICA,"Av. Montenegro 7E, Edif. Araceli P2",,2145404,2214 5721,,Embajadas,
Feature,vista_embajadasconsulados.10,Point,-68.0858671,-16.51921632,geom,CUBA,"Av Gobles No. 6246, entre 11 y 12 Bajo Irpavi, Zona Sur",,272 1646   211 5018,272 3419,misiones.minrex.gob.cu/es/bolivia,Embajadas,
Feature,vista_embajadasconsulados.11,Point,-68.1321214,-16.50096938,geom,DINAMARCA,Edif. Park Inn Calle Federico Zuazo no. 1598,9860,2 231 3737 / 0181     2 211 3165 / 7,2433150,www.amblapaz.um.dk,Embajadas,
Feature,vista_embajadasconsulados.12,Point,-68.0847486,-16.54236079,geom,ECUADOR,"Calacoto, calle 14 N° 8136 entre Patiño y Los Sauces Zona Sur, La Paz",,2 211 5869   -  2 214 7753,2 277 5273,bolivia.embajada.gob.ec,Embajadas,
Feature,vista_embajadasconsulados.13,Point,-68.08763287,-16.5399323,geom,EGIPTO,"Avenida Ballivian no. 559, esq Calle 12 P.O.Box 2956",2956,2 277 3088 / 39    -     2 278 6511,2773097,,Embajadas,
Feature,vista_embajadasconsulados.14,Point,-68.12122549,-16.51385792,geom,ESPAÑA,"Avda. 6 de Agosto, 2827 Casilla de Correos: 282",282,2 243 3518   -   2 243 0118,2 243 2752,www.exteriores.gob.es/embajadas/lapaz,Embajadas,
Feature,vista_embajadasconsulados.15,Point,-68.12168345,-16.51292532,geom,ESTADOS UNIDOS,Av. Arce esq. Cordero Nº 2780,425,2 216 8000,2168111,bo.usembassy.gov,Embajadas,
Feature,vista_embajadasconsulados.16,Point,-68.10849286,-16.52631039,geom,FRANCIA,Avenida Hernando Siles # 5390 Esq. Calle 8 Obrajes,717,2 214 99 00,2 214 99 01,bo.ambafrance.org,Embajadas,
Feature,vista_embajadasconsulados.17,Point,-68.12170942,-16.51232666,geom,GRAN BRETAÑA,Av. Arce Nº 2732,694,2433424,2431073,,Embajadas,
Feature,vista_embajadasconsulados.18,Point,-68.08867118,-16.53899001,geom,IRAN,Calle 11 Nº 7805 esq. Av. Infouentes Calacoto,,2277 5749,2277 5748,,Embajadas,
Feature,vista_embajadasconsulados.19,Point,-68.08316088,-16.53957076,geom,ITALIA,Clle 16. Avenida Sánchez Bustamante N° 977,626,2788506 - 2788507,2788178,amblapaz.esteri.it/ambasciata_lapaz/it/,Embajadas,
Feature,vista_embajadasconsulados.20,Point,-68.12818348,-16.50981544,geom,JAPÓN,c. Rosendo Gutiérrez esq. Sánchez Lima Nº 497,2725,2419110 - 2419113,2411919,www.bo.emb-japan.go.jp,Embajadas,
Feature,vista_embajadasconsulados.21,Point,-68.0841489,-16.54188164,geom,MÉXICO,Av. Julio Patiño Nº 834 entre c. 14 y 15 Calacoto,430,2 277-2133 / 1871,2771855,embamex.sre.gob.mx/bolivia,Embajadas,
Feature,vista_embajadasconsulados.22,Point,-68.12552997,-16.50955679,geom,PAISES BAJOS (HOLANDA),Av. 6 de Agosto Nº 2455. Edif. Hilda Piso 7,10509,2444040,2443804,www.mfa.nl/lap-es,Embajadas,
Feature,vista_embajadasconsulados.23,Point,-68.0894061,-16.53990474,geom,PANAMA,c. 10 esq. Ballivián Nº 7858  Calacoto,6178,2797290 - 2787334,2797290,,Embajadas,
Feature,vista_embajadasconsulados.24,Point,-68.12525457,-16.51043733,geom,PARAGUAY,"c. Pedro Salazar esq. 6 de agosto Nº  Edif. Illimani II, P 1",,2433176 - 2432201,(2) 243.3176   -  (2) 243.2201,,Embajadas,
Feature,vista_embajadasconsulados.25,Point,-68.12821014,-16.50748603,geom,PERÚ,c. Fernando Guachalla esq. 6 de Agosto. Edif. Alianza Nº 300,668,2441250,2441240,www.embaperubolivia.com,Embajadas,
Feature,vista_embajadasconsulados.26,Point,-68.06962243,-16.54116786,geom,RUSIA,Av. Walter Guevara Arce Nº 8129 La Florida,5494,2786419   (2) 277-67-70,2786531,,Embajadas,
Feature,vista_embajadasconsulados.27,,,,geom,SANTA SEDE VATICANO,Av. Arce Nº 2990 San Jorge,136,2431007 - 2433177,2432120,,Embajadas,
Feature,vista_embajadasconsulados.28,Point,-68.12223289,-16.51079643,geom,SUECIA,"Av. Arce Nº 2631, Edif Multicine P11",,2979630,2 297 96 31,www.swedenabroad.com/lapaz,Embajadas,
Feature,vista_embajadasconsulados.29,Point,-68.10455312,-16.5275814,geom,SUIZA,c. 13 de Obrajes esq. 14 de Septiembre Nº 455,9356,2751225   2 275 10 01,2 214 08 84,www.eda.admin.ch/lapaz,Embajadas,
Feature,vista_embajadasconsulados.30,Point,-68.10264025,-16.52896981,geom,UNIÓN EUROPEA,c. 15 Nº 406 Obrajes esq. Hernando Siles,,2782244,2784550,,Embajadas,
Feature,vista_embajadasconsulados.31,Point,-68.08190552,-16.54248953,geom,URUGUAY,Calle 16 Calacoto N° 8247 entre Calle B y Roberto Prudencio,441,2 279.14.82   -   2 279.14.65,2 279.39.76,,Embajadas,
Feature,vista_embajadasconsulados.32,Point,-68.1065186,-16.52922709,geom,VENEZUELA,c. 12 esq. Costenerita Nº 1000 Obrajes,960,2788501 -2788326,2788501,,Embajadas,
Feature,vista_embajadasconsulados.33,Point,-68.12847149,-16.50596984,geom,AUSTRALIA,Av. Arce Nº 2081 Edif. Montevideo Mezanine Of. 2,4829,22971339,,,Consulados,
Feature,vista_embajadasconsulados.34,Point,-68.12802967,-16.50589563,geom,AUSTRIA,c. Montevideo Nº 130. Edif. Requina Piso 6,270,2442075 - 2442094,,,Consulados,
Feature,vista_embajadasconsulados.35,Point,-68.08503389,-16.54142058,geom,CHILE,Calacoto  c. 14 Nº 8024,286,2797331 - 2797341,2126491,www.cgchilelapaz.com.bo,Consulados,
Feature,vista_embajadasconsulados.36,Point,-68.06137187,-16.54203622,geom,CHIPRE,Luis Espinal Nº 555 entre c. 31 y 32 Cota Cota,562,2791051,2791051,,Consulados,
Feature,vista_embajadasconsulados.37,Point,-68.07987128,-16.54190372,geom,EL SALVADOR,"Juan Capriles Nº1246, Manzano F #5. San Miguel",,2158202,2791821,,Consulados,
Feature,vista_embajadasconsulados.38,Point,-68.09129151,-16.54466168,geom,FINLANDIA,Av. Arequipa Nº 8221 Edif. Centro Empresarial. Nivel 2 Of. 2,954,2151515,2151516,,Consulados,
Feature,vista_embajadasconsulados.39,Point,-68.07837161,-16.54149633,geom,GUATEMALA,Av. Montenegro Nº 778 2do piso Galeria Futuro. San Miguel,,2798524,,,Consulados,
Feature,vista_embajadasconsulados.40,Point,-68.13074508,-16.50597362,geom,HONDURAS,Av. 20 de Octubre Nº 1979,1185,2423268,2423500,,Consulados,
Feature,vista_embajadasconsulados.41,Point,-68.12823308,-16.50617616,geom,HUNGRIA,Av. Arce Nº 2105 Edif. Venus Piso 6 Dpto. “B”,,2440725,2440502,,Consulados,
Feature,vista_embajadasconsulados.42,Point,-68.12614606,-16.5135631,geom,IRLANDA,Psje. Gandarillas Nº 2667 esq. M. Pinilla,,2411873 - 2421408,,,Consulados,
Feature,vista_embajadasconsulados.43,Point,-68.1223188,-16.51087019,geom,ISRAEL,Av. Arce Nº 2631 Ed. Multicine Mezzanine,,2116761,,,Consulados,
Feature,vista_embajadasconsulados.44,,,,geom,LIBANO,c. Potosí esq. Colón. Nº 1288. Edif. Tobía Piso 2 ,1371,2200869,2201115,,Consulados,
Feature,vista_embajadasconsulados.45,Point,-68.08006913,-16.54247939,geom,NORUEGA,c. René Moreno esq. Claudio Aliaga Nº 1096 San Miguel,12418,2770009,2799524,,Consulados,
Feature,vista_embajadasconsulados.46,Point,-68.12545917,-16.5096204,geom,PERÚ,"Av. 6 de Agosto Nº 2455, Edif. Hilda Piso 4 Of. 402",706,2440631,,,Consulados,
Feature,vista_embajadasconsulados.47,Point,-68.12800508,-16.50507174,geom,POLONIA,"c. Capitán Ravelo Nº267, Edif. María Cristina Piso 2 Of. 2B",944,2911751,,,Consulados,
Feature,vista_embajadasconsulados.48,,,,geom,REPUBLICA CHECA,c. Covendo No 1 Edif. Fábrica Pinturas Monopol Villa Fátima,1503,2210112,2212540,,Consulados,
Feature,vista_embajadasconsulados.49,Point,-68.07490812,-16.53666354,geom,REPUBLICA DOMINICANA,Av. Fuerza Naval Nº 1621 entre c. 23 y 24 Calacoto,11228,2796282,2112407,,Consulados,
Feature,vista_embajadasconsulados.50,Point,-68.12783846,-16.50817873,geom,SERBIA,"Pje. Jáuregui Nº 2248, Edif. Kipus P5",,2440621,,,Consulados,
Feature,vista_embajadasconsulados.51,Point,-68.10696858,-16.52652223,geom,SIRIA,"Av. Hernando Siles Nº 5593, Edif. Tunupa P3",,2785210,,,Consulados,
Feature,vista_embajadasconsulados.52,Point,-68.08385499,-16.53942668,geom,THAILANDIA,c. 15 Torre Ketal Piso 6 Calacoto,590,,,,Consulados,
Feature,vista_embajadasconsulados.53,Point,-68.07295722,-16.53720418,geom,TRINIDAD Y TOBAGO,"Av. Fuerza Naval Nº 73, esq. Calle 25 de Calacoto",,2790290,,,Consulados,
Feature,vista_embajadasconsulados.54,Point,-68.08857564,-16.54477381,geom,TURQUIA,"c. Los Sauces Nº 312, esq. Calle 9 de Calacoto",,2784800,,,Consulados,
Feature,vista_embajadasconsulados.55,Point,-68.12614339,-16.50720085,geom,UCRANIA,"Av. Arce Edif. Multicentro, P15 bloque B",,2442127,,,Consulados,
